Year,Annual_RONI
1950,-0.7333333333333334
1951,0.55
1952,0.20833333333333334
1953,0.7583333333333334
1954,-0.22499999999999998
1955,-0.7083333333333334
1956,-0.26666666666666666
1957,1.0666666666666667
1958,0.8583333333333334
1959,0.13333333333333328
1960,0.06666666666666667
1961,0.00833333333333333
1962,-0.24166666666666667
1963,0.5666666666666668
1964,-0.3
1965,1.0833333333333333
1966,0.5166666666666667
1967,-0.07500000000000001
1968,0.3333333333333333
1969,0.6416666666666667
1970,-0.27499999999999997
1971,-0.5916666666666667
1972,1.1583333333333334
1973,-0.65
1974,-0.6416666666666667
1975,-0.7000000000000001
1976,0.3
1977,0.6916666666666665
1978,0.024999999999999998
1979,0.2583333333333333
1980,0.24166666666666672
1981,-0.20833333333333337
1982,1.175
1983,0.4750000000000001
1984,-0.4416666666666667
1985,-0.4416666666666667
1986,0.39999999999999997
1987,1.2500000000000002
1988,-1.0583333333333333
1989,-0.5916666666666666
1990,0.325
1991,0.8833333333333333
1992,1.0
1993,0.6
1994,0.75
1995,-0.06666666666666667
1996,-0.39999999999999997
1997,1.3166666666666667
1998,-0.2583333333333334
1999,-1.1666666666666667
2000,-0.7749999999999999
2001,-0.26666666666666666
2002,0.7083333333333334
2003,0.15833333333333333
2004,0.5083333333333334
2005,0.008333333333333323
2006,0.05000000000000001
2007,-0.6083333333333333
2008,-0.7666666666666667
2009,0.19166666666666665
2010,-0.6416666666666666
2011,-0.7916666666666666
2012,-0.1666666666666667
2013,-0.3833333333333333
2014,0.016666666666666663
2015,1.2916666666666667
2016,-0.09166666666666667
2017,-0.5166666666666667
2018,-0.09166666666666663
2019,0.26666666666666666
2020,-0.7333333333333333
2021,-0.8999999999999999
2022,-1.1083333333333332
2023,0.4583333333333333
2024,-0.2333333333333333
2025,-0.7333333333333334
